,Language,Global Speakers,Size,Status,Global Speakers Category
1054,Sri Lankan Tamil,3000000.0,1,0,0
1055,St. Kitts Creole,39000.0,1,0,0
1056,St. Lucian Creole (English),357153.0,2,0,0
1057,St. Lucian Creole (French),357153.0,2,0,0
1058,Sudanese Arabic,31940300.0,1,2,1
1059,Sundanese,32400000.0,1,2,1
1060,Sundanese,32400000.0,2,0,1
1061,Sunwar,39760.0,1,0,0
1062,Susu,1610110.0,1,0,0
1063,Susu,1610110.0,1,0,0
1064,Svan,14071.0,0,0,0
1065,Swabian,820000.0,3,1,0
1066,Swahili,18027740.0,1,0,0
1067,Swahili,18027740.0,0,0,0
1068,Swahili,18027740.0,1,0,0
1069,Swati,4843200.0,0,2,0
1070,Swedish,12804900.0,2,0,0
1071,Swedish,12804900.0,2,2,0
1072,Swedish,12804900.0,0,1,0
1073,Swiss German,5724200.0,2,2,0
1074,Sylheti,11800000.0,2,0,0
1075,Sylheti,11800000.0,2,0,0
1076,Sylheti,11800000.0,1,0,0
1077,Sylheti,11800000.0,3,0,0
1078,Sylheti,11800000.0,2,0,0
1079,Syriac,31136914.044585988,1,4,1
1080,Syriac,31136914.044585988,1,4,1
1081,Syrian Judeo-Arabic,31136914.044585988,2,0,1
1082,Syrian Judeo-Arabic,31136914.044585988,2,0,1
1083,Syrian Judeo-Arabic,31136914.044585988,2,1,1
1084,Syro-Malankara Syriac,31136914.044585988,1,4,1
1085,Tagalog,23808890.0,2,0,0
1086,Tagalog,23808890.0,2,0,0
1087,Tagalog,23808890.0,2,0,0
1088,Tagalog,23808890.0,3,0,0
1089,Tagalog,23808890.0,4,0,0
1090,Tagalog,23808890.0,2,1,0
1091,Taishanese,2300000.0,3,0,0
1092,Taishanese,2300000.0,2,0,0
1093,Taishanese,2300000.0,2,0,0
1094,Taiwanese,16000000.0,2,0,0
1095,Taiwanese,16000000.0,3,0,0
1096,Tajik,7987320.0,2,0,0
1097,Tajik,7987320.0,2,0,0
1098,Tamang,1370000.0,0,0,0
1099,Tamang,1370000.0,2,0,0
1100,Tamil,77136760.11146498,2,0,1
1101,Tamil,77136760.11146498,1,2,1
1102,Tamil,77136760.11146498,2,0,1
1103,Tamil,77136760.11146498,2,0,1
1104,Tanchangya,22000.0,0,0,0
1105,Tangkhul,67000.0,0,0,0
1106,Tarifit,4366000.0,0,0,0
1107,Tashelhyt,7066000.0,1,0,0
1108,Tatar,5009510.0,1,1,0
1109,Tatar,5009510.0,1,0,0
1110,Tausug,946000.0,0,0,0
1111,Tawala,20000.0,0,0,0
1112,Taíno,31136914.044585988,1,3,1
1113,Tedim Chin,411000.0,0,2,0
1114,Telugu,77136760.11146498,1,0,1
1115,Telugu,77136760.11146498,3,0,1
1116,Telugu,77136760.11146498,2,0,1
1117,Tem,381300.0,1,0,0
1118,Temne,1870000.0,1,0,0
1119,Temne,1870000.0,0,0,0
1120,Temne,1870000.0,0,0,0
1121,Teochew,50462190.0,1,0,1
1122,Teochew,50462190.0,1,0,1
1123,Tepehua,8900.0,0,0,0
1124,Tetum,463500.0,0,2,0
1125,Thai,60657660.0,1,2,1
1126,Thai,60657660.0,1,2,1
1127,Thai,60657660.0,2,0,1
1128,Thai,60657660.0,1,2,1
1129,Thakali,6000.0,0,0,0
1130,Thakali,6000.0,0,0,0
1131,Tharu,2000000.0,1,0,0
1132,Tibetan,1186710.0,2,0,0
1133,Tibetan,1186710.0,1,0,0
1134,Tibetan,1186710.0,2,0,0
1135,Tibetan,1186710.0,1,4,0
1136,Tibetan,1186710.0,0,0,0
1137,Tibetan,1186710.0,1,2,0
1138,Tigre,1290000.0,1,0,0
1139,Tigrinya,7659780.0,1,0,0
1140,Tigrinya,7659780.0,1,0,0
1141,Tiv,4000000.0,0,0,0
1142,Tlapanec,37500.0,0,0,0
1143,Tlapanec,37500.0,1,0,0
1144,Tobagonian Creole,300000.0,1,0,0
1145,Tok Pisin,4125740.0,0,2,0
1146,Tokpe Gola,3500.0,0,0,0
1147,Tonga,1500000.0,0,0,0
1148,Tongan,187710.0,0,2,0
1149,Tontemboan,150000.0,0,0,0
1150,Tosk Albanian,1870730.0,2,0,0
1151,Tosk Albanian,1870730.0,2,0,0
1152,Tosk Albanian,1870730.0,2,0,0
1153,Tosk Albanian,1870730.0,1,0,0
1154,Tosk Albanian,1870730.0,2,0,0
1155,Trinidadian Creole,1390000.0,3,0,0
1156,Trinidadian Creole,1390000.0,1,0,0
1157,Trinidadian Creole,1390000.0,4,0,0
1158,Trinidadian Creole,1390000.0,4,0,0
1159,Tripuri,958000.0,0,0,0
1160,Triqui,25000.0,1,0,0
1161,Tsum,4790.0,0,0,0
1162,Tswana,13664710.0,0,2,0
1163,Tuareg,31136914.044585988,1,0,1
1164,Tulu,1850000.0,0,0,0
1165,Tumbuka,1546000.0,0,0,0
1166,Tunisian Arabic,11200000.0,1,0,0
1167,Tunisian Judeo-Arabic,46000.0,0,0,0
1168,Turkish,77136760.11146498,2,0,1
1169,Turkish,77136760.11146498,2,0,1
1170,Turkish,77136760.11146498,2,0,1
1171,Turkish,77136760.11146498,1,1,1
1172,Turkmen,6765590.0,0,0,0
1173,Turoyo Neo-Aramaic,103300.0,1,0,0
1174,Tuscan,31136914.044585988,1,1,1
1175,Tuvan,297000.0,0,0,0
1176,Twi,9000000.0,1,0,0
1177,Twi,9000000.0,3,0,0
1178,Twi,9000000.0,1,0,0
1179,Twi,9000000.0,2,0,0
1180,Tz'utujil,63200.0,0,0,0
1181,Tz'utujil,63200.0,0,0,0
1182,Tzotzil,235000.0,0,0,0
1183,Tö Tibetan,31136914.044585988,2,0,1
1184,Ukrainian,33082790.0,2,2,1
1185,Ukrainian,33082790.0,0,0,1
1186,Ukrainian,33082790.0,1,0,1
1187,Ukrainian,33082790.0,2,2,1
1188,Ukrainian,33082790.0,2,0,1
1189,Ukrainian,33082790.0,1,0,1
1190,Ulster Scots,31136914.044585988,2,1,1
1191,Umbundu,6000000.0,0,2,0
1192,Unkechaug,31136914.044585988,2,3,1
1193,Urdu,77136760.11146498,2,0,1
1194,Urdu,77136760.11146498,3,0,1
1195,Urdu,77136760.11146498,2,0,1
1196,Urdu,77136760.11146498,3,0,1
1197,Urdu,77136760.11146498,3,0,1
1198,Urdu,77136760.11146498,3,0,1
1199,Urhobo,546000.0,1,0,0
1200,Uruguayan Spanish,31136914.044585988,1,0,1
1201,Uyghur,10100000.0,0,0,0
1202,Uyghur,10100000.0,1,0,0
1203,Uzbek,25164820.0,2,0,0
1204,Uzbek,25164820.0,1,0,0
1205,Uzbek,25164820.0,3,0,0
1206,Vai,186800.0,1,0,0
1207,Venetian,7852500.0,0,1,0
1208,Venezuelan Spanish,30000000.0,2,0,0
1209,Vietnamese,76950770.0,2,0,1
1210,Vietnamese,76950770.0,2,0,1
1211,Vietnamese,76950770.0,2,0,1
1212,Vietnamese,76950770.0,2,0,1
1213,Vincentian Creole,117000.0,2,0,0
1214,Virgin Islands Creole,76000.0,1,0,0
1215,Volga Tatar,5009510.0,0,0,0
1216,Wa,900000.0,0,0,0
1217,Wa,900000.0,0,2,0
1218,Wa,900000.0,0,2,0
1219,Wakhi,58000.0,0,0,0
1220,Wali,140000.0,0,0,0
1221,Walloon,600000.0,0,1,0
1222,Walung,3500.0,0,0,0
1223,Waray-Waray,2611110.0,0,0,0
1224,Welsh,573050.0,0,0,0
1225,Wenzhounese,8000000.0,2,0,0
1226,Wenzhounese,8000000.0,2,0,0
1227,Wenzhounese,8000000.0,3,0,0
1228,West Ambae,13700.0,0,2,0
1229,Western Armenian,3843000.0,2,0,0
1230,Western Armenian,3843000.0,3,0,0
1231,Western Armenian,3843000.0,1,0,0
1232,Western Armenian,3843000.0,0,2,0
1233,Western Armenian,3843000.0,1,1,0
1234,Western Yiddish,31136914.044585988,0,1,1
1235,Winnebago,250.0,0,1,0
1236,Wolof,5267290.0,1,0,0
1237,Wolof,5267290.0,2,0,0
1238,Wolof,5267290.0,2,0,0
1239,Xhosa,19183300.0,0,2,0
1240,Yakan,130000.0,0,0,0
1241,Yakut,450000.0,0,0,0
1242,Yemba,300000.0,1,0,0
1243,Yemeni Arabic,26453300.0,1,0,0
1244,Yemeni Arabic,26453300.0,3,0,0
1245,Yemeni Arabic,26453300.0,2,0,0
1246,Yemenite Judeo-Arabic,50300.0,2,0,0
1247,Yiddish,367357.0,1,0,0
1248,Yiddish,367357.0,1,0,0
1249,Yiddish,367357.0,4,1,0
1250,Yiddish,367357.0,2,2,0
1251,Yiddish,367357.0,4,1,0
1252,Yoruba,39844260.0,2,0,1
1253,Yoruba,39844260.0,1,0,1
1254,Yoruba,39844260.0,2,0,1
1255,Yoruba,39844260.0,2,0,1
1256,Yunnanese,45966239.0,1,0,1
1257,Zacaptec Mixtec,1500.0,1,0,0
1258,Zaghawa,316660.0,0,0,0
1259,Zapotec,441182.0,1,0,0
1260,Zapotec,441182.0,1,0,0
1261,Zapotec,441182.0,0,0,0
1262,Zapotec,441182.0,0,0,0
1263,Zapotec,441182.0,0,0,0
1264,Zarma,3680100.0,0,0,0
1265,Zaza,1344000.0,0,2,0
1266,Zoroastrian Dari,8000.0,0,2,0
1267,Zulu,12000000.0,0,2,0
1268,Zuwara,31136914.044585988,0,0,1
1269,Ü-Tsang Tibetan,31136914.044585988,2,0,1
