,Global Speakers,Size,Status,Global Speakers Category
0,49800.0,0,0,0
1,31136914.044585988,1,0,1
2,31136914.044585988,1,1,1
3,3500000.0,0,2,0
4,3500000.0,0,0,0
5,140000.0,0,0,0
6,117500.0,1,0,0
7,270000.0,0,0,0
8,45109521.0,4,0,1
9,45109521.0,4,0,1
10,45109521.0,4,0,1
11,45109521.0,4,0,1
12,45109521.0,4,0,1
13,45109521.0,4,0,1
14,45109521.0,3,0,1
15,17543580.0,1,2,0
16,9231300.0,1,0,0
17,9231300.0,1,0,0
18,9231300.0,3,0,0
19,9231300.0,2,1,0
20,525600.0,0,0,0
21,32387600.0,2,0,1
22,32387600.0,2,0,1
23,500000.0,1,0,0
24,1800000.0,2,0,0
25,1800000.0,1,2,0
26,271700.0,3,0,0
27,271700.0,3,0,0
28,271700.0,3,0,0
29,271700.0,3,0,0
30,271700.0,3,0,0
31,25880630.0,1,0,0
32,25880630.0,1,0,0
33,25880630.0,1,0,0
34,45900.0,0,0,0
35,2550000.0,1,0,0
36,31136914.044585988,0,3,1
37,150000.0,1,2,0
38,31136914.044585988,0,0,1
39,412000.0,0,0,0
40,31136914.044585988,1,1,1
41,380000.0,1,0,0
42,380000.0,1,1,0
43,380000.0,1,1,0
44,45000000.0,2,0,1
45,181120.0,1,0,0
46,181120.0,2,0,0
47,3800000.0,2,0,0
48,3800000.0,1,0,0
49,3800000.0,1,0,0
50,15329040.0,0,0,0
51,587320.0,1,0,0
52,560000.0,0,0,0
53,24000000.0,2,0,0
54,8859000.0,2,2,0
55,8859000.0,1,0,0
56,766500.0,0,0,0
57,31136914.044585988,2,4,1
58,1677100.0,0,0,0
59,9197760.0,1,2,0
60,9197760.0,2,0,0
61,9197760.0,2,0,0
62,100000.0,0,0,0
63,250000.0,1,2,0
64,15250.0,0,0,0
65,96000.0,0,0,0
66,3300000.0,1,0,0
67,809940.0,1,0,0
68,4086000.0,0,0,0
69,392800.0,0,0,0
70,392800.0,1,0,0
71,14102320.0,1,0,0
72,14102320.0,2,0,0
73,14102320.0,3,0,0
74,84000.0,0,0,0
75,3655000.0,0,0,0
76,195100.0,1,0,0
77,4650000.0,0,0,0
78,4650000.0,1,0,0
79,4650000.0,0,0,0
80,7500.0,0,0,0
81,7500.0,1,0,0
82,7500.0,1,0,0
83,260000.0,2,0,0
84,260000.0,1,0,0
85,80000.0,0,0,0
86,300000.0,1,0,0
87,537860.0,1,1,0
88,537860.0,1,2,0
89,537860.0,1,0,0
90,653000.0,1,0,0
91,3000000.0,1,0,0
92,600000.0,1,0,0
93,2000000.0,1,0,0
94,14359000.0,3,1,0
95,14359000.0,1,0,0
96,20000.0,0,0,0
97,3843110.0,0,2,0
98,3843110.0,1,0,0
99,3843110.0,0,0,0
100,3843110.0,1,0,0
101,390000.0,2,0,0
102,4110000.0,0,2,0
103,31136914.044585988,1,0,1
104,77136760.11146498,4,0,1
105,77136760.11146498,1,0,1
106,77136760.11146498,3,0,1
107,77136760.11146498,4,0,1
108,77136760.11146498,0,1,1
109,77136760.11146498,3,0,1
110,77136760.11146498,3,0,1
111,5000000.0,0,0,0
112,52405300.0,1,0,1
113,52405300.0,1,2,1
114,31136914.044585988,2,4,1
115,31136914.044585988,2,4,1
116,31136914.044585988,2,4,1
117,31136914.044585988,1,0,1
118,31136914.044585988,0,1,1
119,119600.0,1,0,0
120,10000.0,0,2,0
121,1600000.0,1,0,0
122,4500000.0,2,0,0
123,4500000.0,2,0,0
124,304000.0,0,0,0
125,41000.0,0,1,0
126,8779176.0,1,0,0
127,8779176.0,1,2,0
128,8779176.0,1,0,0
129,77136760.11146498,2,0,1
130,77136760.11146498,2,0,1
131,77136760.11146498,2,0,1
132,77136760.11146498,2,2,1
133,206000.0,0,1,0
134,206000.0,1,0,0
135,206000.0,1,1,0
136,7000.0,0,0,0
137,67886004.0,2,0,1
138,4027800.0,0,0,0
139,4027800.0,0,2,0
140,110600.0,1,2,0
141,110600.0,1,0,0
142,110600.0,3,0,0
143,8144880.0,1,0,0
144,8144880.0,1,0,0
145,77136760.11146498,0,0,1
146,168000.0,0,0,0
147,20000.0,0,0,0
148,42912350.0,0,2,1
149,42912350.0,1,2,1
150,42912350.0,1,2,1
151,42912350.0,2,0,1
152,112000.0,0,0,0
153,219000.0,1,0,0
154,31136914.044585988,0,0,1
155,500000.0,0,0,0
156,31136914.044585988,1,0,1
157,31136914.044585988,1,1,1
158,31136914.044585988,2,0,1
159,31136914.044585988,2,0,1
160,12000000.0,1,0,0
161,31136914.044585988,1,0,1
162,37590000.0,2,2,1
163,73538610.0,3,0,1
164,73538610.0,1,0,1
165,73538610.0,3,0,1
166,73538610.0,4,0,1
167,73538610.0,4,0,1
168,73538610.0,3,0,1
169,1191000.0,1,0,0
170,1191000.0,0,0,0
171,208100.0,0,0,0
172,2408000.0,1,1,0
173,2408000.0,2,2,0
174,2408000.0,2,0,0
175,9153310.0,1,2,0
176,15942480.0,2,0,0
177,15942480.0,0,0,0
178,44530000.0,3,0,1
179,44530000.0,2,0,1
180,44530000.0,3,0,1
181,44530000.0,3,0,1
182,44530000.0,1,0,1
183,44530000.0,2,0,1
184,400000.0,1,0,0
185,1757300.0,0,2,0
186,4000.0,0,0,0
187,31136914.044585988,0,0,1
188,378000.0,0,0,0
189,241610.0,0,0,0
190,77000.0,0,0,0
191,64300.0,0,2,0
192,31136914.044585988,0,0,1
193,77136760.11146498,1,0,1
194,4750.0,0,0,0
195,2178100.0,0,0,0
196,431000.0,0,0,0
197,1502350.0,0,0,0
198,1502350.0,0,0,0
199,132000.0,0,0,0
200,1520.0,0,2,0
201,9690520.0,0,2,0
202,1600000.0,0,0,0
203,18729160.0,1,0,0
204,130000.0,0,0,0
205,130000.0,0,0,0
206,1500.0,0,0,0
207,13000000.0,2,0,0
208,20000.0,0,0,0
209,61630.0,0,0,0
210,31136914.044585988,0,4,1
211,31136914.044585988,2,4,1
212,100090.0,0,2,0
213,1282270.0,0,0,0
214,250000.0,1,0,0
215,250000.0,1,0,0
216,250000.0,1,0,0
217,31136914.044585988,3,4,1
218,31136914.044585988,2,4,1
219,31136914.044585988,3,4,1
220,31136914.044585988,3,4,1
221,31136914.044585988,2,4,1
222,31136914.044585988,2,4,1
223,31136914.044585988,0,3,1
224,1186710.0,1,2,0
225,1186710.0,2,4,0
226,49650000.0,2,0,1
227,49650000.0,4,0,1
228,49650000.0,2,0,1
229,1100000.0,0,2,0
